--------- beginning of main
02-12 21:48:53.311 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:53.313 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:53.313 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:53.412 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:53.414 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:53.414 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:53.513 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:53.515 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:53.515 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:53.591 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:53.592 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:53.592 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:53.718 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:53.720 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:53.720 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:53.841 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:53.844 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:53.844 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:53.892 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:53.894 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:53.894 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.005 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.007 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.007 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
